id,price,mpgcitycity,mpghw,enginesize,hpower,rpm,CC,hand,passengers,length,weight,USA
35,14,24,30,2,115,5500,2340,1,4,179,2710,1
36,19.9,15,20,3,145,4800,2080,1,7,176,3735,1
37,20.2,21,30,3,140,4800,1885,0,5,192,3325,1
38,20.9,18,26,4.6,190,4200,1415,0,6,212,3950,1
39,8.4,46,50,1,55,5700,3755,1,4,151,1695,0
40,12.5,30,36,1.6,90,5400,3250,1,4,164,2475,0
41,19.8,24,31,2.3,160,5800,2855,1,4,175,2865,0
42,12.1,42,46,1.5,102,5900,2650,1,4,173,2350,0
43,17.5,24,31,2.2,140,5600,2610,1,4,185,3040,0
44,8,29,33,1.5,81,5500,2710,1,5,168,2345,0
45,10,22,29,1.8,124,6000,2745,1,5,172,2620,0
46,10,26,34,1.5,92,5550,2540,1,4,166,2285,0
47,13.9,20,27,2,128,6000,2335,1,5,184,2885,0
48,47.9,17,22,4.5,278,6000,1955,0,5,200,4000,0
49,28,18,24,3,185,5200,2325,1,5,188,3510,0
50,35.2,18,23,3,225,6000,2510,1,4,191,3515,0
51,34.3,17,26,3.8,160,4400,1835,0,6,205,3695,1
52,36.1,18,26,4.6,210,4600,1840,0,6,219,4055,1
53,8.3,29,37,1.6,82,5000,2370,1,4,164,2325,0
54,11.6,28,36,1.8,103,5500,2220,1,5,172,2440,0
55,16.5,26,34,2.5,164,5600,2505,1,5,184,2970,0
56,19.1,18,24,3,155,5000,2240,0,7,190,3735,0
57,32.5,17,25,1.3,255,6500,2325,1,2,169,2895,0
58,31.9,20,29,2.3,130,5100,2425,1,5,175,2920,0
59,61.9,19,25,3.2,217,5500,2220,0,5,187,3525,0
60,14.1,23,26,1.6,100,5750,2475,1,4,166,2450,1
61,14.9,19,26,3.8,140,3800,1730,0,5,199,3610,1
62,10.3,29,33,1.5,92,6000,2505,1,5,172,2295,0
63,26.1,18,24,3,202,6000,2210,0,5,190,3730,0
64,11.8,29,33,1.6,110,6000,2435,1,5,170,2545,0
65,15.7,24,30,2.4,150,5600,2130,1,5,181,3050,0
66,19.1,17,23,3,151,4800,2065,0,7,190,4100,0
67,21.5,21,26,3,160,5200,2045,0,5,188,3200,0
68,13.5,24,31,2.3,155,6000,2380,0,5,188,2910,1
69,16.3,23,31,2.2,110,5200,2565,0,5,190,2890,1
70,19.5,18,23,3.8,170,4800,1690,0,7,194,3715,1
71,20.7,19,28,3.8,170,4800,1570,0,6,201,3470,1
72,14.4,23,30,1.8,92,5000,2360,1,4,173,2640,1
73,9,31,41,1.6,74,5600,3130,1,4,177,2350,1
74,11.1,23,31,2,110,5200,2665,1,5,181,2575,1
75,17.7,19,28,3.4,160,4600,1805,1,4,196,3240,1
76,18.5,19,27,3.4,200,5000,1890,1,5,195,3450,1
77,24.4,19,28,3.8,170,4800,1565,0,6,177,3495,1
78,28.7,20,26,2.1,140,6000,2910,1,5,184,2775,0
79,11.1,28,38,1.9,85,5000,2145,1,5,176,2495,1
80,8.4,33,37,1.2,73,5600,2875,1,4,146,2045,0
81,10.9,25,30,1.8,90,5200,3375,1,5,175,2490,0
82,19.5,23,30,2.2,130,5600,2330,1,5,179,3085,0
83,8.6,39,43,1.3,70,6000,3360,1,4,161,1965,0
84,9.8,32,37,1.5,82,5200,3505,1,5,162,2055,0
85,18.4,25,32,2.2,135,5400,2405,1,4,174,2950,0
86,18.2,22,29,2.2,130,5400,2340,1,5,188,3030,0
87,22.7,18,22,2.4,138,5000,2515,1,7,187,3785,0
88,9.1,25,33,1.8,81,5500,2550,1,4,163,2240,0
89,19.7,17,21,2.5,109,4500,2915,1,7,187,3960,0
90,20,21,30,2,134,5800,2685,1,5,180,2985,0
91,23.3,18,25,2.8,178,5800,2385,1,4,159,2810,0
92,22.7,21,28,2.3,114,5400,2215,1,5,190,2985,0
93,26.7,20,28,2.4,168,6200,2310,1,5,184,3245,0
